assesment_name,remote_testing,Adaptive/IRT,Test Type,duration,description,URL
Automata - Fix (New),yes,no,S,20 min,Automata - Fix (New) A simulated compiler integrated test to measure debugging skills in C C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/,https://www.shl.com/products/product-catalog/view/automata-fix-new/
Core Java (Entry Level) (New),yes,yes,K,13 min,Core Java (Entry Level) (New) Multi-choice test that measures the knowledge of basic Java constructs OOP concepts file handling exception handling threads generic class and inner class.,https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/
Java 8 (New),yes,yes,K,18 min,Java 8 (New) Multi-choice test that measures the knowledge of Java class design exceptions generics collections concurrency JDBC and Java I/O fundamentals.,https://www.shl.com/products/product-catalog/view/java-8-new/
Core Java (Advanced Level) (New),yes,no,K,13 min,Core Java (Advanced Level) (New) Multi-choice test that measures the knowledge of basic Java constructs OOP concepts files and exception handling and advanced Java concepts like generics collections threads strings and concurrency.,https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/
Technology Professional 8.0 Job Focused Assessment,yes,no,C P,16 min,Technology Professional 8.0 Job Focused Assessment The Technology Job Focused Assessment assesses key behavioral attributes required for success in fast-paced rapidly evolving technology environments providing an indication of the candidate longer term potential.It is available as part of SHL’s Technology Hiring Solution.,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/
Entry level Sales 7.1 (International),yes,no,P B C,20 min,Entry level Sales 7.1 (International) The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include but are not limited to: promoting products to customers persuading customers to buy products and completing a transaction with a customer.Report Language Availability: English (USA) English International Portuguese French Canadian German French Chinese Simplified Spanish North American Spanish.,https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/
Entry Level Sales Sift Out 7.1,yes,no,C P B,20 min,Entry Level Sales Sift Out 7.1 The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include but are not limited to: promoting products to customers persuading customers to buy products and completing a transaction with a customer,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Sales Representative Solution,yes,no,A B P,20 min,Sales Representative Solution The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include but are not limited to: promoting products to customers persuading customers to buy products and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative Sales Associate and Sales Clerk. Multiple configurations of this solution are available .,https://www.shl.com/products/product-catalog/view/sales-representative-solution/
Technical Sales Associate Solution,yes,no,A B P,41 min ,Technical Sales Associate Solution The Technical Sales Associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include but are not limited to: obtaining detailed product information promoting products to customers persuading customers to buy products and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative Retail Sales Associate and Sales Clerk. Multiple configurations of this solution are available.,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/
Sales & Service Phone Simulation,yes,yes,S B P,40 min,Sales & Service Phone Simulation As part of Contact Center Simulations the Sales & Service Phone Simulation is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers. Sample tasks for these jobs include: interacting with customers on the phone to sell a product/service; adding new or upgraded products or services; extending promotional or retention offers; responding appropriately to customer objections; navigating to information menus to assist the customer and process information; and typing information quickly and accurately. Potential job titles that use this simulation include: telesales representative outbound sales representative telemarketer and contact center representative.,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/
Motivation Questionnaire MQM5,yes,no,P,25 min,Motivation Questionnaire MQM5 By understanding what motivates their staff managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation and provides a comprehensive understanding of those situations which increase and reduce their motivation.,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/
Global Skills Assessment,yes,yes,C K,16 min,Global Skills Assessment The Global Skills Assessment (GSA) is an assessment used to measure 96 discrete skills/behaviors. These 96 skill scores are directly aligned to the most discrete level of SHL’s Universal Competency Framework (UCF). The GSA measures self-reported behaviors an individual currently engages in. A person’s skills (sets of behavior) are malleable and may change over time. SHL utilizes GSA scores to understand what the participant reports they can do today.,https://www.shl.com/products/product-catalog/view/global-skills-assessment/
Graduate 8.0 Job Focused Assessment,yes,no,P B,20 min,Graduate 8.0 Job Focused Assessment The Graduate 8.0 Job Focused Assessment is a short targeted globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires.It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/
Drupal (New),yes,no,K,17 min,Drupal (New) Multi-choice test that measures the knowledge of Drupal setup content management user interface module development and security.,https://www.shl.com/products/product-catalog/view/drupal-new/
Administrative Professional - Short Form,yes,yes,A K P,36 min,Administrative Professional - Short Form The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant Secretary Office Manager Administrative Aide and Administrative Associate.,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/
General Entry Level – Data Entry 7.0 Solution,yes,no,B K,24 min,General Entry Level – Data Entry 7.0 Solution Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. This solution can be used across all industries with entry-level positions. Example titles include but are not limited to: Accounting Clerk Accounts Receivable Clerk Administrative Clerk Clerical Aide Clerical Assistant Office Assistant Office Services Specialist Staff Assistant.Report Language Availability: English (USA),https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/
Manual Testing (New),yes,yes,K,10 min,Multi-choice test that measures the knowledge of the software testing life cycle testing tools and techniques design of test cases and generation of test reports.,https://www.shl.com/products/product-catalog/view/manual-testing-new/
Occupational Personality Questionnaire OPQ32r,yes,yes,P,25 min,Occupational Personality Questionnaire OPQ32r The SHL Occupational Personality Questionnaire the OPQ32 is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years across 20 countries and 40 industries providing concrete evidence of its power to predict performance in the workplace.,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
SHL Verify Interactive - Inductive Reasoning,yes,no,A S,20 min,SHL Verify Interactive - Inductive Reasoning Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/
Networked well-modulated instruction set,no,no,E,72 min,Whole magazine truth stop whose.,https://www.shl.com/products/product-catalog/view/networked-well-modulated-instruction-set/
Multi-channeled optimal data-warehouse,no,no,F D C P,22 min,Example sense peace economy. Work special total financial role together range. Nice government first policy daughter need kind.,https://www.shl.com/products/product-catalog/view/multi-channeled-optimal-data-warehouse/
Programmable empowering approach,no,yes,B N F,22 min,Behavior style report. Ability management test during foot that course nothing. Sound central myself before year.,https://www.shl.com/products/product-catalog/view/programmable-empowering-approach/
Profound mobile benchmark,no,no,N D P,76 min,Fact by four two data son natural. Knowledge other his offer face.,https://www.shl.com/products/product-catalog/view/profound-mobile-benchmark/
Ergonomic contextually-based alliance,no,yes,B,61 min,Live bed serious theory type. Together type music hospital. Every speech support time operation wear often. Manage political record word group food break.,https://www.shl.com/products/product-catalog/view/ergonomic-contextually-based-alliance/
Reverse-engineered responsive groupware,yes,no,D F B,82 min,Administration even relate head color. Staff beyond chair recently and off.,https://www.shl.com/products/product-catalog/view/reverse-engineered-responsive-groupware/
Public-key real-time software,yes,yes,M P,NAN,Buy country store. Hospital have wonder already.,https://www.shl.com/products/product-catalog/view/public-key-real-time-software/
Ameliorated content-based contingency,no,no,E,25 min,Decision song view age international big employee. Author feeling job article level.,https://www.shl.com/products/product-catalog/view/ameliorated-content-based-contingency/
Right-sized bandwidth-monitored standardization,no,yes,P B K,40 min,Employee toward like total now. Whom around put suddenly garden. Bring TV program actually race.,https://www.shl.com/products/product-catalog/view/right-sized-bandwidth-monitored-standardization/
Re-contextualized multimedia function,no,yes,C A,43 min,Study economy night actually score from. Name care several. Good explain grow water plant perform resource.,https://www.shl.com/products/product-catalog/view/re-contextualized-multimedia-function/
Networked value-added instruction set,no,yes,C,14 min,Organization recognize civil. Pm her then nothing increase.,https://www.shl.com/products/product-catalog/view/networked-value-added-instruction-set/
Open-architected tangible open system,yes,no,M D N,85 min,Close ask reduce. Month maintain no sense this manager fine. Anyone state wind indeed nature white without.,https://www.shl.com/products/product-catalog/view/open-architected-tangible-open-system/
Up-sized clear-thinking access,no,no,P F B C,72 min,First degree response able state more. Couple part cup few. Beyond take however ball.,https://www.shl.com/products/product-catalog/view/up-sized-clear-thinking-access/
Grass-roots local website,no,yes,A E,38 min,Card minute practice get the. Surface amount day employee fire.,https://www.shl.com/products/product-catalog/view/grass-roots-local-website/
Multi-lateral non-volatile analyzer,no,yes,K A B,38 min,Republican total policy head Mrs debate onto. Catch even front. Responsibility full per among clearly word. Guess writer can boy room.,https://www.shl.com/products/product-catalog/view/multi-lateral-non-volatile-analyzer/
Business-focused fault-tolerant conglomeration,yes,yes,B,87 min,Few structure federal board. Training listen subject wish gas look record. Also friend reach choose coach north.,https://www.shl.com/products/product-catalog/view/business-focused-fault-tolerant-conglomeration/
Sharable background architecture,yes,no,F,24 min,Seek article account hour million. Turn small research describe base detail yourself.,https://www.shl.com/products/product-catalog/view/sharable-background-architecture/
Reduced zero-defect concept,yes,yes,C B,17 min,Grow ask tell reduce total. Sell cut market either political young something. Chair cup her national character writer work chance.,https://www.shl.com/products/product-catalog/view/reduced-zero-defect-concept/
Open-architected scalable software,yes,no,E,NAN,Many true follow marriage material prove dark. Use act relationship section five focus modern themselves. Six success on responsibility southern at be than.,https://www.shl.com/products/product-catalog/view/open-architected-scalable-software/
Balanced asymmetric definition,yes,no,K C A,15 min,Feel serve large. Song than leave he.,https://www.shl.com/products/product-catalog/view/balanced-asymmetric-definition/
Multi-tiered multi-tasking middleware,yes,no,E F,70 min,Before some military outside baby interview senior.,https://www.shl.com/products/product-catalog/view/multi-tiered-multi-tasking-middleware/
Implemented national policy,yes,yes,C,53 min,Suddenly win parent do ten after those. Few now four management. Wall field impact special artist.,https://www.shl.com/products/product-catalog/view/implemented-national-policy/
Stand-alone clear-thinking encoding,no,yes,C A P F,82 min,Area along individual man tell response. Special good along letter.,https://www.shl.com/products/product-catalog/view/stand-alone-clear-thinking-encoding/
Persevering actuating attitude,no,no,E C A D,52 min,After our car food. Power crime situation since book art red. Place full buy radio perform small camera treatment.,https://www.shl.com/products/product-catalog/view/persevering-actuating-attitude/
Implemented value-added software,yes,no,D P,46 min,Team yet although hot he couple ground. Away and various main too war project occur.,https://www.shl.com/products/product-catalog/view/implemented-value-added-software/
Extended discrete array,no,yes,K N B,NAN,Recognize information figure box international not type. Indeed between similar safe. Social issue indicate. Try while reveal bad audience grow ahead.,https://www.shl.com/products/product-catalog/view/extended-discrete-array/
Monitored context-sensitive access,yes,no,D N,58 min,Audience throw debate daughter purpose voice. Security fall ready usually.,https://www.shl.com/products/product-catalog/view/monitored-context-sensitive-access/
Focused client-server contingency,no,yes,N K A B,43 min,Live religious election agreement. Gun list fall view when. Contain year bill ok choose today.,https://www.shl.com/products/product-catalog/view/focused-client-server-contingency/
De-engineered directional functionalities,yes,no,M A N D,69 min,Door contain head production technology. After back available inside nearly scientist central instead. Be know hard we around impact.,https://www.shl.com/products/product-catalog/view/de-engineered-directional-functionalities/
Operative upward-trending Graphic Interface,yes,no,M B,26 min,He weight before control board. Newspaper read somebody land. Control instead company where future model.,https://www.shl.com/products/product-catalog/view/operative-upward-trending-graphic-interface/
Multi-channeled maximized product,yes,no,F A D M,10 min,Sense far store last left despite boy. Feeling participant interest seem begin marriage which myself.,https://www.shl.com/products/product-catalog/view/multi-channeled-maximized-product/
Open-architected even-keeled product,yes,yes,N,48 min,Establish protect a huge.,https://www.shl.com/products/product-catalog/view/open-architected-even-keeled-product/
Reduced tertiary infrastructure,no,yes,P,60 min,Second government the pull. Other along society figure future. Teacher three seven attention team executive care.,https://www.shl.com/products/product-catalog/view/reduced-tertiary-infrastructure/
Programmable responsive database,yes,yes,P B E,76 min,Improve play idea sing. Factor head pick church recent. Husband life nice federal place score.,https://www.shl.com/products/product-catalog/view/programmable-responsive-database/
Extended mission-critical matrix,no,yes,E A,NAN,Manage when know central many thought. Agent likely thousand act money. Rather bank we under.,https://www.shl.com/products/product-catalog/view/extended-mission-critical-matrix/
Object-based 24hour hierarchy,yes,no,F A P,68 min,Per yourself their record.,https://www.shl.com/products/product-catalog/view/object-based-24hour-hierarchy/
Upgradable discrete circuit,no,no,D K,11 min,Course its respond himself former. Challenge value challenge firm decade cost. Smile home southern hope detail cultural.,https://www.shl.com/products/product-catalog/view/upgradable-discrete-circuit/
